https://www.hitbullseye.com/Vocab/List-of-Antonyms.php ,
Word,Antonym
Absence,Presence
Accept,Refuse
Accurate,Inaccurate
Advantage,Disadvantage
Alive,Dead
Ancient,Modern
Answer,Question
Approval,Disapproval
Approached,Receded
Abundant,Scarce
Admit,Deny
Advance,Retreat
Artificial,Natural
Ascend,Descend
Attack,Defense
Attention,Inattention
Asleep,Awake
Ally,Enemy
Agree,Disagree
Beginning,Ending
Blunt,Sharp
Blame,Praise
Bitter,Sweet
Borrow,Lend
Bravery,Cowardice
Broad,Narrow
Careful,Rush
Calm,Troubled
Capable,Incapable
Captivity,Freedom
Cheap,Dear
Clever,Stupid
Correct,Incorrect
Conceal,Reveal
Comfort,Discomfort
Courage,Cowardice
Cruel,Kind
Courteous,Discourteous
Cunning,Simple
Beautiful,Ugly
Dainty,Clumsy
Dark,Light
Deep,Shallow
Decrease,Increase
Demand,Supply
Despair,Hope
Disappear,Appear
Dismal,Cheerful
Ebb,Flow
Encourage,Discourage
Entrance,Exit
End,Beginning
Expand,Contract
Expensive,Inexpensive
Fail,Succeed
Feeble,Sturdy
Foolish,Wise
Famous,Unknown
First,Last
Freedom,Captivity
Frequent,Seldom
Friend,Enemy
Fortunate,Unfortunate
Frank,Secretive
Generous,Mean
Gentle,Rough
Gloomy,Cheerful
Giant,Dwarf
Happy,Sad
Harmful,Harmless
Hasten,Dawdle
Hate,Love
Healthy,Unhealthy
Horizontal,Vertical
Hinder,Aid
Honest,Dishonest
Humble,Proud
Hunger,Thirst
Immense,Tiny
Imprison,Free
Inferior,Superior
Interior,Exterior
Interesting,Uninteresting
Intentional,Accidental
Justice,Injustice
Knowledge,Ignorance
Lazy,Industrious
Little,Large
Lofty,Lowly
Misunderstand,Understand
Possible,Impossible
Prudent,Imprudent
Rapid,Slow
Rigid,Pliable
Satisfactory,Unsatisfactory
Scatter,Collect
Serious,Trivial
Sour,Sweet
Sorrow,Joy
Strong,Weak
Absence,Plenty
Accept,Fail
Accurate,Indefinite
Advantage,Harm
Alive,Unconscious
Ancient,Current
Answer,Query
Approval,Denial
Approached,Departed
Abundant,Lacking
Admit,Repudiate
Advance,Retire
Artificial,Genuine
Ascend,Drop
Attack,Flight
Attention,Disregard
Asleep,Conscious
Ally,Antagonist
Agree,Reject
Beginning,Finish
Blunt,Polite
Blame,Approval
Bitter,Bland
Borrow,Forfeit
Bravery,Timidity
Broad,Quiet
Careful,Careless
Calm,Harsh
Capable,Clumsy
Captivity,Liberty
Cheap,Expensive
Clever,Foolish
Correct,Improper
Conceal,Divulge
Comfort,Gloom
Courage,Humility
Cruel,Gentle
Courteous,Rude
Cunning,Ignorant
Beautiful,Drab
Dainty,Ugly
Dark,Distinct
Deep,Artless
Decrease,Expansion
Demand,Reply
Despair,Cheer
Disappear,Begin
Dismal,Bright
Ebb,Flow
Encourage,Agitate
Entrance,Conclusion
End,Bottom
Expand,Diminish
Expensive,Cheap
Fail,Ascend
Feeble,Strong
Foolish,Sane
Famous,Obscure
First,Minor
Freedom,Slavery
Frequent,Ceasing
Friend,Foe
Fortunate,Failing
Frank,Timidity
Generous,Greedy
Gentle,Surly
Gloomy,Lively
Giant,Pygmy
Happy,Miserable
Harmful,Assisting
Hasten,Halt
Hate,Liking
Healthy,Ill
Horizontal,Divergent
Hinder,Help
Honest,Counterfeit
Humble,Brave
Hunger,Distaste
Immense,Minute
Imprison,Cease
Inferior,Chief
Interior,Outside
Interesting,Dull
Intentional,Involuntary
Justice,Penalty
Knowledge,Inanity
Lazy,Energetic
Little,Much
Lofty,Humble
Misunderstand,Comprehend
Possible,Unlikely
Prudent,Foolish
Rapid,Delayed
Rigid,Soft
Satisfactory,Intolerable
Scatter,Gather
Serious,Insincere
Sour,Bland
Sorrow,Benefit
Strong,Intermittent
Absence,Existence
Accept,Deny
Accurate,Unreliable
Advantage,Impotence
Alive,Sluggish
Ancient,Fresh
Answer,Quiet
Approval,Veto
Approached,Leave
Abundant,Sparse
Admit,Expel
Advance,Behind
Artificial,Real
Ascend,Slump
Attack,Shelter
Attention,Lethargy
Asleep,Attentive
Ally,Detractor
Agree,Resist
Beginning,Epilogue
Blunt,Subtle
Blame,Peace
Bitter,Pleasant
Borrow,Lend
Bravery,Fear
Broad,Little
Careful,Inexact
Calm,Furious
Capable,Stupid
Captivity,Freedom
Cheap,Expensive
Clever,Ignorant
Correct,Invalid
Conceal,Unwrap
Comfort,Injury
Courage,Timidity
Cruel,Compassionate
Courteous,Uncivil
Cunning,Blunt
Beautiful,Offensive
Dainty,Inferior
Dark,Evident
Deep,Flighty
Decrease,Growth
Demand,Offer
Despair,Faith
Disappear,Solidify
Dismal,Intelligent
Ebb,Incline
Encourage,Sadden
Entrance,Egress
End,Creation
Expand,Shrink
Expensive,Worthless
Fail,Rise
Feeble,Powerful
Foolish,Realistic
Famous,Inferior
First,Trivial
Freedom,Inability
Frequent,Irregular
Friend,Stranger
Fortunate,Lacking
Frank,Shy
Generous,Biased
Gentle,Excited
Gloomy,Luminous
Giant,Dwarf
Happy,Serious
Harmful,Honest
Hasten,Hinder
Hate,Sympathy
Healthy,Diseased
Horizontal,Unfair
Hinder,Further
Honest,Deceitful
Humble,Unrefined
Hunger,Disgust
Immense,Limited
Imprison,Permit
Inferior,Extraordinary
Interior,Revealed
Interesting,Repulsive
Intentional,Unwilling
Justice,Illegality
Knowledge,Stupidity
Lazy,Caring
Little,Big
Lofty,Below
Misunderstand,Construe
Possible,Improbable
Prudent,Indiscreet
Rapid,Sluggish
Rigid,Gentle
Satisfactory,Unreliable
Scatter,Maintain
Serious,Dishonest
Sour,Calm
Sorrow,Cheer
Strong,Idle
Absence,Enough
Accept,Reject
Accurate,Faulty
Advantage,Inferiority
Alive,Deceased
Ancient,New
Answer,Trouble
Approval,Refusal
Approached,Retreat
Abundant,Meager
Admit,Oust
Advance,Later
Artificial,Unaffected
Ascend,Decline
Attack,Shield
Attention,Neglect
Asleep,Awake
Ally,Foe
Agree,Object
Beginning,Finale
Blunt,Sharp
Blame,Ratification
Bitter,Mild
Borrow,Return
Bravery,Cowardice
Broad,Tiny
Careful,Unwise
Calm,Worried
Capable,Ignorant
Captivity,License
Cheap,Worthy
Clever,Naïve
Correct,Biased
Conceal,Ignore
Comfort,Torment
Courage,Irresolution
Cruel,Mild
Courteous,Unrefined
Cunning,Rough
Beautiful,Repulsive
Dainty,Coarse
Dark,Vivacious
Deep,Trivial
Decrease,Enlargement
Demand,Grant
Despair,Pleasure
Disappear,Coagulate
Dismal,Luminous
Ebb,Expansion
Encourage,Dispirit
Entrance,Leave
End,Origin
Expand,Shrivel
Expensive,Reasonable
Fail,Reach
Feeble,Expert
Foolish,Serious
Famous,Typical
First,Auxiliary
Freedom,Restraint
Frequent,Rare
Friend,Opponent
Fortunate,Losing
Frank,Evasive
Generous,Prejudiced
Gentle,Harsh
Gloomy,Intelligent
Giant,Teeny
Happy,Morose
Harmful,Fortunate
Hasten,Dissuade
Hate,Flattery
Healthy,Infirm
Horizontal,Irregular
Hinder,Allow
Honest,Corrupt
Humble,Intricate
Hunger,Satiation
Immense,Restricted
Imprison,Release
Inferior,Foremost
Interior,Public
Interesting,Homely
Intentional,Unplanned
Justice,Corruption
Knowledge,Impotence
Lazy,Fresh
Little,Sufficient
Lofty,Beneath
Misunderstand,Grasp
Possible,Impossible
Prudent,Stupid
Rapid,Languishing
Rigid,Pliant
Satisfactory,Inadequate
Scatter,Combine
Serious,Deceptive
Sour,Blah
Sorrow,Benefit
Strong,Inactive
