https://scoop.eduncle.com/synonyms-antonyms-for-competitive-exams,,
S.No.,Words,Antonyms
,Abash,Discompose
4,Abash,Uphold
6,Abate,Aggravate
7,Abject,Commendable
,Abject,Praiseworthy
8,Abjure,Approve
,Abjure,Sanction
3,Abolish,Setup Establish
9,Abortive,Productive
5,Abound,Deficient
,Abound,Destitute
,Absolve,Accuse
10,Absolve,Compel
11,Accord,Discord
,Acrimony,Benevolence
12,Acrimony,Courtesy
,Acumen,Ignorance
1,Acumen,Stupidity
13,Adamant,Flexible
,Adamant,Soft
2,Adhere,Condemn
,Adhere,disjoin
,Adherent,Adversary
14,Adherent,Rival
15,Adjunct,Separated
,Adjunct,Subtracted
,Admonish,Applaud
16,Admonish,Approve
,Adversity,Fortune
17,Adversity,Prosperity
18,Alien,Native
,Alien,Resident
19,Allay,Aggravate
,Allay,Excite
20,Alleviate,Aggravate
,Alleviate,Enhance
21,Allure,Repulse Repel
,Amplify,Contract
23,Amplify,Lessen
24,Arraign,Exculpate
,Arraign,Pardon
,Ascend,Decline
22,Ascend,Descend
,Audacity,Cowardice
25,Audacity,Mildness
26,Authentic,Fictitious
,Authentic,unreal
27,Awkward,Adroit
,Awkward,clever
28,Axiom,Absurdity
,Axiom,Blunder
,Baffle,Clarify
29,Baffle,Facilitate
34,Barbarous,Civilized
35,Baroque,Plain
,Baroque,unadorned
36,Barren,Damp
,Barren,Fertile
,Barrier,Assistance
37,Barrier,Link
,Base,Noble
38,Base,Summit
39,Batty,Sane
40,Bawdy,Decent
,Bawdy,Moral
41,Befogged,Clear headed
,Befogged,Uncloud
42,Benevolent,Malevolent
,Benevolent,Miserly
,Benign,Cruel
43,Benign,Malignant
,Bewitching,Repugnant
30,Bewitching,Repulsive
44,Bind,Release
31,Bleak,Bright
45,Bleak,Bright
,Bleak,Cheerful
,Bleak,Pleasant
46,Blunt,Keen
,Blunt,Sharp
,Boisterous,Calm
47,Boisterous,Placid
48,Bold,Timid
,Brittle,Enduring
32,Brittle,Tough
,Bustle,Quiet
33,Bustle,Slowness
49,Busy,Idle
,Busy,Lazy
51,Calamity,Fortune
50,Calculating,Artless
,Calculating,honest
52,Callous,Compassionate
72,Callous,Kind
,Callous,merciful
,Callous,Tender
71,Calm,Stormy
,Calm,turbulent
53,Calumny,Commendation
,Calumny,Praise
73,Camouflage,Reveal
74,Candid,Evasive
54,Capable,Incompetent
,Capable,Inept
55,Captivate,Disillusion offend
75,Captivate,Repel
56,Captivity,Freedom
,Captivity,Liberty
76,Carnal,Spiritual
77,Catholic,Narrow- minded
57,Cease,Begin
,Cease,Originate
,Celebrated,Inglorious
78,Celebrated,Unknown
79,Cement,Disintegrate
,Censure,Acceptance
80,Censure,Praise
,Chaste,Lustful
58,Chaste,Sullied
59,Chastise,Cheer
,Chastise,encourage
81,Cheap,Dear
,Cheap,unreasonable
,Clandestine,Legal
82,Clandestine,Open
83,Classic,Romantic
,Classic,Unusual
,Coarse,Chaste
84,Coarse,Fine
,Comic,tragedian
85,Comic,Tragic
,Compact,Diffuse
86,Compact,Loose
,Compassion,Barbarity
60,Compassion,Cruelty
87,Compress,Amplify
,Compress,Expand
,Comprise,lack
61,Comprise,Reject
62,Concede,Deny
,Concede,reject
88,Conceit,Modesty
89,Concord,Discord
63,Concur,Differ
,Concur,disagree
90,Condemn,Approve
,Condemn,Praise
,Confident,cowardly
91,Confident,Diffident
64,Consent,Object Disagree
65,Consequence,Origin
,Consequence,Start
66,Consolidate,Separate
92,Consolidate,Weaken
,Consolidate,Weaken
67,Conspicuous,Concealed
,Conspicuous,hidden
,Contempt,Praise
68,Contempt,Regard
69,Contradict,Approve
,Contradict,Confirm
,Contrary,Alike
70,Contrary,Similar
93,Courtesy,Disdain
,Courtesy,Rudeness
94,Creation,Destruction
,Cunning,Coarse
95,Cunning,Nave
96,Decay,Flourish
,Decay,Progress
,Deceit,Sincerity
97,Deceit,Veracity
,Decipher,distort
98,Decipher,Misinterpret
99,Defile,Purify
,Defile,sanctity
100,Defray,Disclaim
,Defray,Repudiate
101,Deliberate,Rash
,Deliberate,Sudden
,Demolish,construct
102,Demolish,Repair
107,Denounce,Defend
,Dense,brainy
108,Dense,Sparse
,Deprive,Renew
103,Deprive,Restore
,Deride,Encourage
104,Deride,Inspire
,Derogatory,appreciative
109,Derogatory,Laudatory
110,Despair,Contentment
,Despair,Hope
,Destructive,Constructive
111,Destructive,Creative
105,Disdain,Approve
,Disdain,praise
106,Dissuade,Insite
,Dissuade,Persuade
112,Docile,Headstrong
,Docile,obstinate
,Dwarf,Giant
113,Dwarf,Huge
,Eager,apathetic
114,Eager,Indifferent
,Eccentric,Conventional
116,Eccentric,Natural
,Eclipse,eclipse
115,Eclipse,Shine
,Ecstasy,Calamity
117,Ecstasy,Despair
,Efface,Maintain
118,Efface,Retain
119,Eloquence,Halting
,Eloquence,Stammering
120,Encumbrance,Incentive
,Encumbrance,stimulant
121,Endeavour,Cease
,Endeavour,quit
122,Enormous,Diminutive
,Enormous,negligible
,Epitome,expansion
123,Epitome,Increment
,Equivocal,lucid
124,Equivocal,Obvious
,Eradicate,plant
125,Eradicate,Secure
126,Fabricate,Destroy
,Fabricate,Dismantle
,Fallacy,Truth
127,Fallacy,Veracity
,Falter,Endure
128,Falter,Persist
129,Fanatical,Liberal
,Fanatical,Tolerant
,Feeble,Robust
130,Feeble,Strong
131,Ferocious,Gentle
,Ferocious,Sympathetic
,Feud,fraternity
132,Feud,Harmony
,Fluctuate,resolve
133,Fluctuate,Stabilize
134,Forsake,Hold
,Forsake,maintain
135,Fragile,Enduring
,Fragile,Tough
,Frantic,gentle
136,Frantic,Subdued
,Frivolous,significant
137,Frivolous,Solemn
,Frugality,extravagance
138,Frugality,Lavishness
139,Gather,Disperse
,Gather,Dissemble
,Generosity,greed
147,Generosity,Stinginess
148,Genuine,Spurious
140,Gloom,Delight
,Gloom,mirth
,Gloomy,Bright
149,Gloomy,Gay
,Glory,Disgrace
150,Glory,Shame
,Glut,abstain
141,Glut,Starve
142,Gorgeous,Dull
,Gorgeous,unpretentious
143,Gracious,Rude
,Gracious,Unforgiving
,Grisly,attractive
144,Grisly,Pleasing
,Grudge,Affection
145,Grudge,Benevolence
,Guile,frankness
146,Guile,Honesty
,Hamper,facilitate
151,Hamper,Promote
,Hamstrung,Encourage
158,Hamstrung,Strengthen
152,Hapless,Fortunate
,Hapless,Lucky
153,Harass,Assist
,Harass,comfort
159,Harmony,Discord
,Harmony,discord
,Hasty,Cautious
160,Hasty,Leisurely
154,Haughty,Humble
,Haughty,Submissive
155,Hazard,Conviction
,Hazard,security
156,Heretic,Conformable
,Heretic,religious
,Hideous,alluring
157,Hideous,Attractive
161,Honor,Denunciation
,Honor,Shame
,Humble,Assertive
162,Humble,Proud
163,Humility,Boldness
,Humility,Pride
,Hypocrisy,frankness
164,Hypocrisy,Sincerity
172,Immaculate,Defiled
198,Immaculate,Defiled
,Immaculate,Tarnished
,Immaculate,Tarnished
,Immense,Insignificant
173,Immense,Puny
174,Immerse,Emerge
,Immerse,uncover
175,Imminent,Distant
,Imminent,Receding
176,Immunity,Blame
,Immunity,Censure
177,Impair,Restore
,Impair,Revive
,Impartial,Biased
178,Impartial,Prejudiced
179,Impediment,Assistant
,Impediment,Concurrence
165,Impenitent,Repentant
,Impious,Devout
180,Impious,Pious
166,Impulsive,Cautious
,Impulsive,Deliberate
181,Impute,Exculpate
,Impute,support
,Inclination,Disinclination
182,Inclination,Indifference
183,Incompetent,Dexterous
,Incompetent,Skilled
184,Incongruous,Compatible
,Incongruous,harmonious
,Indifferent,Biased
167,Indifferent,Partial
,Indigent,Affluent
168,Indigent,Rich
,Inevitable,Doubtful
185,Inevitable,Unlikely
169,Infernal,Heavenly
186,Infringe,Comply
,Infringe,Concur
,Ingenuous,Craftly
187,Ingenuous,Wily
,Insinuate,Camouflage
188,Insinuate,Conceal
,Insipid,appetizing
189,Insipid,Delicious
,Insipid,luscious
170,Insipid,Pleasing
,Insolvent,solvent
190,Insolvent,Wealthy
191,Instill,Eradicate
,Instill,extract
171,Interesting,Dull
,Interesting,Uninteresting
,Intricate,Orderly
192,Intricate,Regulated
193,Intrigue,Candor
,Intrigue,Sincerity
194,Intrinsic,Extraneous
,Intrinsic,incidental
,Invective,acclamation
195,Invective,Approval
196,Invincible,Effeminate
,Invincible,languid
197,Irrepressible,Composed
,Irrepressible,hesitant
,Jaded,recreated
199,Jaded,Renewed
,Jejune,exciting
200,Jejune,Interesting
,Jovial,morose
201,Jovial,Solemn
,Jubilant,depressing
202,Jubilant,Melancholy
,Judicious,foolish
203,Judicious,Irrational
204,Just,Unequal
,Just,unfair
,Justify,arraign
205,Justify,Impute
,Juvenile,antiquated
206,Juvenile,Dotage
,Keen,insipid
207,Keen,Vapid
,Kindred,dissimilar
208,Kindred,Unrelated
,Knave,innocent
209,Knave,Paragon
210,Knell,Reconstruction
,Knell,rediscovery
,Knotty,manageable
211,Knotty,Simple
223,Languid,Energetic
,Languid,spirited
,Lavish,deficient
212,Lavish,Scarce
213,Lax,Firm
,Lax,reliable
214,Lenient,Cruel
,Lenient,severe
,Liable,apt to
215,Liable,Unaccountable
,Liberal,malicious
216,Liberal,Stingy
217,Linger,Hasten
,Linger,quicken
,Lucid,hidden
218,Lucid,Obscure
219,Lunacy,Normalcy
,Lunacy,sanity
,Lure,dissuade
220,Lure,Repel
,Luscious,tart
221,Luscious,Unsavory
,Luxuriant,meagre
222,Luxuriant,Scanty
224,Malice,Goodwill
,Malice,Kindness
225,Mandatory,Optional
226,Masculine,Feminine
,Masculine,meek
227,Merit,Demerit
,Merit,dishonor
228,Miraculous,Ordinary
,Miraculous,trivial
229,Mitigate,Augment enhance
230,Modest,Arrogant
,Modest,pompous
231,Molest,Console
,Molest,soothe
,Mollify,infuriate
232,Mollify,Irritate
,Momentous,insignificant
233,Momentous,Trivial
,Monotonous,pleasant
234,Monotonous,Varied
,Morbid,Cheerful
235,Morbid,Healthy
236,Munificent,Frugal
,Munificent,penurious
237,Murky,Bright
,Murky,shining
,Mutinous,faithful
238,Mutinous,Submissive
,Mutual,distinct
239,Mutual,Separate
240,Niggardly,Generous
,Niggardly,profuse
,Nimble,languid
241,Nimble,Sluggish
242,Nonchalant,Attentive
,Nonchalant,considerate
,Notion,Concrete
246,Notion,Reality
,Novice,ingenious
243,Novice,Veteran
244,Noxious,Healing
,Noxious,profitable
245,Nullify,Confirm
,Nullify,Uphold
,Numerous,deficient
247,Numerous,Scarce
249,Obliging,Mulish
,Obliging,Obstinate
250,Obscure,Prominent
,Obstinate,flexible
251,Obstinate,Pliable
,Obstruct,encourage
248,Obstruct,Hasten
252,Obtain,Forfeit
,Obvious,ambiguous
253,Obvious,Obscure
256,Occult,Intelligible
,Occult,transparent
254,Odious,Engaging
,Odious,fascinating
255,Offensive,Engaging
,Offensive,fascinating
257,Offspring,Ancestor
,Offspring,forefather
258,Ominous,Auspicious
,Opaque,bright
259,Opaque,Transparent
260,Optimist,Pessimist
,Oracular,distinct
261,Oracular,Lucid
262,Ordain,Revoke abolish
,Ornamental,plain
263,Ornamental,Unseemly
264,Outbreak,Compliance
,Outbreak,subjection
,Outrage,favour
265,Outrage,Praise
266,Pacify,Irritate
,Pacify,worsen
273,Pamper,Deny
,Pamper,disparage
,Paramount,inferior
274,Paramount,Trivial
,Peerless,commonplace
275,Peerless,Mediocre
,Peevish,amiable
276,Peevish,Suave
267,Persuade,Dissuade
,Persuade,halt
,Pertness,diffidence
277,Pertness,Modesty
268,Perturbed,Calm
278,Perverse,Complacent
,Perverse,docile
,Placid,hostile
279,Placid,Turbulent
,Pompous,humble
280,Pompous,Unpretentious
281,Precarious,Assured
,Predicament,confidence
282,Predicament,Resolution
270,Progress,Retrogress
,Progress,worsening
,Prompt,Negligent
271,Prompt,Slow
,Propagate,deplete
269,Propagate,Suppress
272,Prudence,Indiscretion
,Quack,unfeigned
283,Quack,Upright
284,Quaint,Familiar
,Quaint,usual
285,Quarantine,Befriend
,Quarantine,socialize
,Quell,agitate
286,Quell,Exacerbate
,Quibble,plain
288,Quibble,Unfeign
,Raid,release
289,Raid,Retreat
290,Rapidity,Inertia
,Rapidity,languidity
296,Ratify,Deny
,Ratify,dissent
297,Ravage,Reconstruct
,Ravage,renovate
291,Reason,Folly
,Reason,Speculation
,Rebellious,Compliant
292,Rebellious,Submissive
293,Rectify,Falsify
,Rectify,Worsen
298,Redeem,Conserve lose
294,Reluctant,anxious
,Reluctant,Eager
299,Remnant,Entire
,Remnant,whole
300,Remonstrate,Agree
,Remonstrate,loud
,Remorse,obduracy
301,Remorse,Ruthlessness
302,Rescind,Delegate
,Rescind,permit
,Resentment,Cheer
303,Resentment,Content
295,Restrain,Incite
,Retract,assert
304,Retract,Confirm
,Reverence,affront
305,Reverence,Disrespect
306,Rout,Succumb
,Rout,withdraw
307,Rustic,Cultured
,Rustic,Refined
308,Ruthless,Compassionate
,Ruthless,lenient
,Sacred,Profane
309,Sacred,Ungodly
318,Sarcastic,Courteous
,Sarcastic,gracious
,Saucy,humble
319,Saucy,Modest
,Savage,Civilized
310,Savage,Polished
321,Scanty,Lavish
,Scanty,multitude
322,Servile,Aggressive
,Servile,Dominant
323,Shabby,Prosperous
,Shabby,thriving
,Shrewd,imbecile
320,Shrewd,Simple
324,Slander,Applaud
,Slander,approve
325,Sneer,Flatter
,Sneer,praise
326,Solicit,Protest oppose
,Sporadic,frequent
330,Sporadic,Incessant
331,Spry,Lethargic
,Spry,Sluggish
,Spurious,Authentic
329,Spurious,Genuine
,Squalid,Attractive
332,Squalid,Tidy
328,Stain,Honor
,Stain,purify
311,Startled,Waveringly
312,Steep,Flat
,Steep,gradual
,Sterile,Potent
334,Sterile,Profitable
313,Stranger,Acquaintance
,Stranger,national
,Stupor,Consciousness
335,Stupor,Sensibility
314,Sublime,Ridiculous
336,Subsequent,Preceding
,Subsequent,previous
,Substantial,fragile
337,Substantial,Tenuous
327,Subterfuge,Frankness
,Subterfuge,Openness
338,Subvert,Generate
,Subvert,organize
333,Successful,Destitute
,Successful,Untoward
315,Succinct,Lengthy
,Succinct,polite
,Superficial,discerning
339,Superficial,Profound
340,Sycophant,Devoted
,Sycophant,loyal
316,Sympathy,Antipathy
,Sympathy,Discord
317,System,Chaos
,System,Disorder
,Taboo,consent
341,Taboo,Permit
,Taciturn,extrovert
342,Taciturn,Talkative
,Tame,untamed
356,Tame,Wild
343,Tedious,Exhilarating
,Tedious,lively
344,Temperate,Boisterous
,Temperate,violent
346,Tenacious,Docile
,Tenacious,non- resinous
345,Tenement,Breakeven
,Tenement,dislodge
357,Terse,Diffuse
,Terse,Gentle
,Thick,attenuated
358,Thick,Thin
359,Thrifty,Extravagant
347,Throng,Dispersion
,Throng,sparsity
348,Timid,Bold
,Timid,intrepid
360,Tranquil,Agitated
,Tranquil,Fierce
,Tranquil,furious
349,Tranquil,Violent
,Transient,enduring
