file:///C:/Users/thiagocostan/Desktop/Video Exercises/3 Resources Data Mining/Fidel/basic_synonym_finder_pre-int.pdf,,
,,
NUMBER,BASEWORD,ANTONYMS
,child,adult
,disagree,agree
,dead,alive
,disapprove,approve
,proud,ashamed
,unattractive,attractive
,good,bad
,stop,begin
,small,big
,cold,boiling
,anger,calmness
,careful,careless
,uncertain,certain
,sad,cheerful
,dirty,clean
,go,come
,stop,continue
,uncertain,convinced
,courage,cowardice
,increase,decrease
,annoy,delight
,easy,difficult
,clean,dirty
,like,dislike
,increase,drop
,raise,drop
,wet,dry
,hard,easy
,usual,exceptional
,beginner,expert
,thin,fat
,occasional,frequent
,sad,happy
,easy,hard
,like,hate
,love,hatred
,weak,healthy
,cold,hot
,small,huge
,knowledge,ignorance
,aware,ignorant
,watch,ignore
,legal,illegal
,ability,inability
,correct,incorrect
,group,individual
,usual,irregular
,temporary,lasting
,follow,lead
,teach,learn
,dislike,liking
,dead,live
,find,lose
,quiet,loud
,raise,lower
,break,mend
,proud,modest
,protect,neglect
,old,new
,quiet,noisy
,new,old
,beginner,old hand
,new,old-fashioned
,watch,overlook
,thin,overweight
,temporary,permanent
,annoy,please
,good,poor
,complain,praise
,unattractive,pretty
,pull,push
,answer,question
,noisy,quiet
,often,rarely
,cautious,reckless
,occasional,regular
,often,seldom
,stupid,sensible
,funny,serious
,noisy,silent
,hard,simple
,fat,slim
,big,small
,funny,solemn
,give,steal
,friend,stranger
,weak,strong
,fragile,strong
,intelligent,stupid
,fragile,sturdy
,give,take
,learn,teach
,now,then
,fat,thin
,cautious,thoughtless
,lie,truth
,good-looking,ugly
,good-looking,unattractive
,aware,unaware
,intelligent,unintelligent
,famous,unknown
,necessary,unnecessary
,cold,warm
,strong,weak
,stupid,wise
,old,young
