plurals.f.lemma,Base.Word,COUNT.Base.Word
ads,ad,1
adults,adult,1
afternoons,afternoon,1
ages,age,1
animals,animal,1
answers,answer,1
arms,arm,1
bags,bag,1
balls,ball,1
bananas,banana,1
bands,band,1
banks,bank,1
baseballs,baseball,1
basketballs,basketball,1
bats,bat,1
bathrooms,bathroom,1
beans,bean,1
beards,beard,1
beds,bed,1
bedrooms,bedroom,1
beers,beer,1
bikes,bike,1
birds,bird,1
birthdays,birthday,1
blouses,blouse,1
boards,board,1
boats,boat,1
books,book,1
bookcases,bookcase,1
bookstores,bookstore,1
boots,boot,1
bottoms,bottom,1
boys,boy,1
breads,bread,1
breakfasts,breakfast,1
brothers,brother,1
butters,butter,1
cakes,cake,1
cameras,camera,1
cats,cat,1
chairs,chair,1
chocolates,chocolate,1
classrooms,classroom,1
clocks,clock,1
coats,coat,1
coffees,coffee,1
colors,color,1
computers,computer,1
conversations,conversation,1
courses,course,1
cows,cow,1
crackers,cracker,1
cups,cup,1
dads,dad,1
dates,date,1
daughters,daughter,1
days,day,1
desks,desk,1
dinners,dinner,1
doctors,doctor,1
dolls,doll,1
dollars,dollar,1
doors,door,1
drinks,drink,1
ears,ear,1
eggs,egg,1
ends,end,1
erasers,eraser,1
evenings,evening,1
examples,example,1
eyes,eye,1
faces,face,1
farms,farm,1
fathers,father,1
floors,floor,1
flowers,flower,1
foods,food,1
footballs,football,1
fridays,friday,1
friends,friend,1
fruits,fruit,1
games,game,1
gardens,garden,1
girls,girl,1
glasses,glasses,1
groups,group,1
guitars,guitar,1
hairs,hair,1
hands,hand,1
heads,head,1
holidays,holiday,1
homes,home,1
homeworks,homework,1
horses,horse,1
hospitals,hospital,1
hours,hour,1
houses,house,1
husbands,husband,1
jackets,jacket,1
jeans,jeans,1
jobs,job,1
juices,juice,1
keys,key,1
kinds,kind,1
kitchens,kitchen,1
knifes,knife,1
languages,language,1
legs,leg,1
lessons,lesson,1
letters,letter,1
lifes,life,1
meals,meal,1
meats,meat,1
messages,message,1
milks,milk,1
minutes,minute,1
moms,mom,1
mondays,monday,1
moneys,money,1
months,month,1
mornings,morning,1
mothers,mother,1
mouths,mouth,1
movies,movie,1
museums,museum,1
names,name,1
newspapers,newspaper,1
nights,night,1
noises,noise,1
notes,note,1
numbers,number,1
oranges,orange,1
pages,page,1
paints,paint,1
pairs,pair,1
papers,paper,1
parents,parent,1
parks,park,1
parts,part,1
pens,pen,1
pencils,pencil,1
peoples,people,1
persons,person,1
pets,pet,1
phones,phone,1
photos,photo,1
picnics,picnic,1
pictures,picture,1
pigs,pig,1
pizzas,pizza,1
players,player,1
problems,problem,1
quarters,quarter,1
questions,question,1
radios,radio,1
rains,rain,1
readings,reading,1
refrigerators,refrigerator,1
restaurants,restaurant,1
rivers,river,1
roads,road,1
rooms,room,1
salts,salt,1
saturdays,saturday,1
schools,school,1
sentences,sentence,1
shirts,shirt,1
showers,shower,1
sisters,sister,1
skirts,skirt,1
snows,snow,1
soups,soup,1
sports,sport,1
stations,station,1
streets,street,1
students,student,1
subjects,subject,1
subways,subway,1
sugars,sugar,1
summers,summer,1
suns,sun,1
sundays,sunday,1
supermarkets,supermarket,1
taxis,taxi,1
teas,tea,1
teachers,teacher,1
televisions,television,1
tennis,tennis,1
tests,test,1
things,thing,1
thursdays,thursday,1
tickets,ticket,1
times,time,1
todays,today,1
toilets,toilet,1
tomorrows,tomorrow,1
towns,town,1
trains,train,1
trees,tree,1
tuesdays,tuesday,1
tvs,tv,1
vacations,vacation,1
vegetables,vegetable,1
villages,village,1
waiters,waiter,1
walls,wall,1
waters,water,1
weathers,weather,1
wednesdays,wednesday,1
weeks,week,1
weekends,weekend,1
winds,wind,1
windows,window,1
words,word,1
works,work,1
worlds,world,1
writings,writing,1
years,year,1
zoos,zoo,1
accidents,accident,1
actors,actor,1
adjectives,adjective,1
adventures,adventure,1
adverbs,adverb,1
advertisements,advertisement,1
airs,air,1
airplanes,airplane,1
airports,airport,1
albums,album,1
alcohols,alcohol,1
apartments,apartment,1
appointments,appointment,1
areas,area,1
armchairs,armchair,1
arts,art,1
aunts,aunt,1
backs,back,1
backpacks,backpack,1
balloons,balloon,1
bandages,bandage,1
barbecues,barbecue,1
bears,bear,1
beginners,beginner,1
beginnings,beginning,1
bicycles,bicycle,1
bills,bill,1
births,birth,1
blacks,black,1
blackboards,blackboard,1
blankets,blanket,1
blocks,block,1
bloods,blood,1
blues,blue,1
bowls,bowl,1
boyfriends,boyfriend,1
bracelets,bracelet,1
brains,brain,1
breaks,break,1
bridges,bridge,1
browns,brown,1
buildings,building,1
burgers,burger,1
cabinets,cabinet,1
cafeterias,cafeteria,1
calendars,calendar,1
calls,call,1
capitals,capital,1
cards,card,1
carpets,carpet,1
carrots,carrot,1
cartoons,cartoon,1
castles,castle,1
cathedrals,cathedral,1
ceilings,ceiling,1
cents,cent,1
centers,center,1
centimeters,centimeter,1
cereals,cereal,1
chains,chain,1
champagnes,champagne,1
changes,change,1
channels,channel,1
chats,chat,1
checks,check,1
chefs,chef,1
chickens,chicken,1
cigarettes,cigarette,1
circles,circle,1
classmates,classmate,1
cleaners,cleaner,1
clicks,click,1
closets,closet,1
clouds,cloud,1
clowns,clown,1
clubs,club,1
colas,cola,1
colds,cold,1
colleagues,colleague,1
colleges,college,1
combs,comb,1
competitions,competition,1
concerts,concert,1
contacts,contact,1
cooks,cook,1
cookies,cookie,1
corners,corner,1
costs,cost,1
cousins,cousin,1
creams,cream,1
crickets,cricket,1
crowds,crowd,1
curtains,curtain,1
customers,customer,1
dancers,dancer,1
dangers,danger,1
decks,deck,1
degrees,degree,1
delays,delay,1
departments,department,1
deserts,desert,1
desserts,dessert,1
differences,difference,1
dinosaurs,dinosaur,1
diplomas,diploma,1
directions,directions,1
discos,disco,1
discounts,discount,1
documents,document,1
drawers,drawer,1
drawings,drawing,1
dreams,dream,1
dressers,dresser,1
drivers,driver,1
drums,drum,1
ducks,duck,1
earrings,earring,1
elephants,elephant,1
elevators,elevator,1
engines,engine,1
engineers,engineer,1
entrances,entrance,1
envelopes,envelope,1
euros,euro,1
exams,exam,1
examinations,examination,1
exercises,exercise,1
exits,exit,1
facts,fact,1
falls,fall,1
fans,fan,1
farmers,farmer,1
fashions,fashion,1
fields,field,1
files,file,1
fingers,finger,1
fires,fire,1
flights,flight,1
fogs,fog,1
folders,folder,1
forests,forest,1
forks,fork,1
forms,form,1
garlics,garlic,1
gates,gate,1
gifts,gift,1
girlfriends,girlfriend,1
goals,goal,1
graduates,graduate,1
grams,gram,1
grammars,grammar,1
granddads,granddad,1
granddaughters,granddaughter,1
grandfathers,grandfather,1
grandmas,grandma,1
grandmothers,grandmother,1
grandpas,grandpa,1
grandparents,grandparent,1
grandsons,grandson,1
grays,gray,1
greens,green,1
guests,guest,1
guides,guide,1
guidebooks,guidebook,1
guys,guy,1
gyms,gym,1
halfs,half,1
halls,hall,1
headaches,headache,1
hearts,heart,1
heats,heat,1
helicopters,helicopter,1
helps,help,1
highways,highway,1
hills,hill,1
ids,id,1
ideas,idea,1
identifications,identification,1
insects,insect,1
instruments,instrument,1
invitations,invitation,1
islands,island,1
its,it,1
jams,jam,1
keyboards,keyboard,1
kicks,kick,1
kids,kid,1
kilos,kilo,1
kilograms,kilogram,1
kilometers,kilometer,1
kings,king,1
kites,kite,1
lakes,lake,1
lamps,lamp,1
laptops,laptop,1
leathers,leather,1
lefts,left,1
lemons,lemon,1
lemonades,lemonade,1
levels,level,1
lifts,lift,1
lights,light,1
lines,line,1
lions,lion,1
lists,list,1
liters,liter,1
luggages,luggage,1
lunchtimes,lunchtime,1
machines,machine,1
magazines,magazine,1
mails,mail,1
managers,manager,1
maps,map,1
marks,mark,1
markets,market,1
maths,math,1
mechanics,mechanic,1
medicines,medicine,1
meetings,meeting,1
melons,melon,1
members,member,1
menus,menu,1
meters,meter,1
mirrors,mirror,1
mistakes,mistake,1
models,model,1
moments,moment,1
monkeys,monkey,1
mosques,mosque,1
motorcycles,motorcycle,1
mountains,mountain,1
mugs,mug,1
mushrooms,mushroom,1
natures,nature,1
necks,neck,1
necklaces,necklace,1
neighbors,neighbor,1
noons,noon,1
notebooks,notebook,1
nouns,noun,1
nurses,nurse,1
occupations,occupation,1
oceans,ocean,1
offers,offer,1
offices,office,1
oils,oil,1
omelets,omelet,1
onions,onion,1
operas,opera,1
orders,order,1
pains,pain,1
painters,painter,1
paintings,painting,1
pajamas,pajamas,1
partners,partner,1
passengers,passenger,1
passports,passport,1
paths,path,1
pears,pear,1
peppers,pepper,1
perfumes,perfume,1
photographs,photograph,1
photographers,photographer,1
physics,physics,1
pianos,piano,1
pillows,pillow,1
pilots,pilot,1
pinks,pink,1
plastics,plastic,1
platforms,platform,1
plays,play,1
playgrounds,playground,1
