plurals.f.lemma,Base.Word,COUNT.Base.Word,,
accesses,access,2,C,
acts,act,2,C,
activists,activist,2,C,
actresses,actress,3,C,
addresses,address,2,C,
advocates,advocate,2,C,
aids,aid,2,C,
ancestors,ancestor,2,C,
apparatuses,apparatus,2,C,
apples,apple,2,C,
artists,artist,3,C,
asses,ass,8,C,
badges,badge,2,C,
bans,ban,2,C,
bars,bar,2,C,
bases,base,4,C,
baths,bath,2,C,
beliefs,belief,2,C,
belies,bell,3,C,
belts,belt,2,C,
biases,bias,2,C,
bids,bid,2,C,
bins,bin,2,C,
bits,bit,2,C,
bombs,bomb,2,C,
bones,bone,2,C,
bonuses,bonus,2,C,
boosts,boost,5,C,
booths,booth,2,C,
bosses,boss,2,C,
bottles,bottle,2,C,
bras,bra,2,C,
brasses,brass,3,C,
breaths,breath,2,C,
brides,bride,3,C,
bronzes,bronze,2,C,
buses,bus,10,C,
bushes,bush,2,C,
businesses,business,2,C,
butts,butt,2,C,
cabins,cabin,2,C,
cables,cable,2,C,
campuses,campus,2,C,
cans,can,2,C,
candidates,candidate,2,C,
canvases,canvas,4,C,
caps,cap,2,C,
cares,care,3,C,P?
carriers,carrier,2,C,
cases,case,3,C,
casts,cast,2,C,
censuses,census,3,C,
chapels,chapel,2,C,
charges,charge,2,C,
charters,charter,2,C,
cheeses,cheese,2,C,P?
chiefs,chief,2,C,
chilis,chili,2,C,
chins,chin,2,C,
circuses,circus,2,C,
classes,class,6,C,
cods,cod,2,C,
colons,colon,2,C,
comics,comic,2,C,
commas,comma,2,C,
congresses,congress,2,C,
cops,cop,2,C,
corpses,corpse,2,C,
counters,counter,2,C,
coups,coup,2,C,
crashes,crash,2,C,
crosses,cross,4,C,
crowns,crown,2,C,
cures,cure,4,C,
dams,dam,2,C,
dances,dance,2,C,
dentists,dentist,2,C,
dependences,dependence,2,C,P?
desires,desire,2,C,
distresses,distress,2,C,
divorcees,divorce,2,C,
dogs,dog,2,C,
doses,dose,2,C,
dots,dot,2,C,
dresses,dress,3,C,
escapes,escape,2,C,
excesses,excess,2,C,
experiences,experience,2,C,
extremists,extremist,2,C,
famines,famine,2,C,
fares,fare,2,C,
fats,fat,2,C,
favorites,favorite,2,C,
fifths,fifth,2,C,
focuses,focus,2,C,
forces,force,2,C,
founders,founder,2,C,
franchises,franchise,2,C,
fusses,fuss,3,C,
gaps,gap,2,C,
garages,garage,2,C,
gases,gas,11,C,
genes,gene,4,C,
geniuses,genius,3,C,
glasses,glass,2,C,
globes,globe,2,C,
gloves,glove,2,C,
glues,glue,2,C,
graces,grace,2,C,
grades,grade,2,C,
grains,grain,2,C,
grapes,grape,2,C,
grasps,grasp,2,C,
grasses,grass,4,C,
graves,grave,2,C,
grills,grill,2,C,
grips,grip,2,C,
guesses,guess,3,C,
hams,ham,2,C,
hats,hat,2,C,
hermitages,heritage,2,C,
hotels,hotel,2,C,
illnesses,illness,2,C,
justices,justice,2,C,
kindnesses,kindness,2,C,
kisses,kiss,3,C,
kits,kit,2,C,
lads,lad,2,C,
lanes,lane,2,C,
lasers,laser,2,C,
lenses,lens,6,C,
licences,licence,2,C,
limits,limit,2,C,
locals,local,2,C,
lords,lord,2,C,
losses,loss,6,C,
lungs,lung,2,C,
madams,madam,2,C,
mats,mat,2,C,
memoirs,memoir,3,C,
merits,merit,2,C,
messes,mess,3,C,
mines,mine,4,C,
miners,miner,2,C,
ministers,minister,2,C,
misses,miss,4,C,
misuses,misuse,2,C,
monks,monk,2,C,
mortgages,mortgage,2,C,
mosquitoes,mosquito,2,C,
moves,move,2,C,
musics,music,2,C,
