Base.Word,Level.x,Part.of.Speech.x,plurals.f.lemma
april,A1,noun,NA
cafã©,A1,noun,cafès
car,A1,noun,cars
cd,A1,noun,cds
dancing,A1,noun,NA
december,A1,noun,NA
dvd,A1,noun,dvds
e-mail,A1,noun,e-mails
february,A1,noun,NA
foot,A1,noun,feet
fun,A1,noun,funs
january,A1,noun,NA
july,A1,noun,NA
june,A1,noun,NA
may,A1,noun,NA
mr.,A1,noun,NA
mrs.,A1,noun,NA
november,A1,noun,NA
october,A1,noun,NA
pants,A1,noun,NA
september,A1,noun,NA
sheep,A1,noun,sheep
shopping,A1,noun,shoppings
smoking,A1,noun,NA
t-shirt,A1,noun,t-shirts
wine,A1,noun,wines
advice,A2,noun,advices
badminton,A2,noun,NA
banking,A2,noun,NA
businesswoman,A2,noun,businesswomen
camping,A2,noun,campings
chemistry,A2,noun,chemistries
chess,A2,noun,NA
climbing,A2,noun,NA
comparative,A2,noun,comparatives
cooking,A2,noun,NA
cycling,A2,noun,NA
dr.,A2,noun,NA
east,A2,noun,NA
electricity,A2,noun,electricities
fishing,A2,noun,NA
furniture,A2,noun,furnitures
gold,A2,noun,golds
golf,A2,noun,golfs
handball,A2,noun,NA
health,A2,noun,NA
hiking,A2,noun,NA
hip-hop,A2,noun,NA
hockey,A2,noun,NA
honey,A2,noun,NA
ice,A2,noun,ices
information,A2,noun,NA
jewelry,A2,noun,jewelries
license,A2,noun,licenses
luck,A2,noun,lucks
makeup,A2,noun,makeups
midnight,A2,noun,midnights
ms.,A2,noun,NA
news,A2,noun,NA
north,A2,noun,NA
pc,A2,noun,NA
photography,A2,noun,photographies
policewoman,A2,noun,policewomen
pop,A2,noun,pops
quiz,A2,noun,quizes
rugby,A2,noun,NA
running,A2,noun,NA
sightseeing,A2,noun,NA
silver,A2,noun,NA
singing,A2,noun,NA
skateboarding,A2,noun,NA
skating,A2,noun,NA
sky,A2,noun,skies
snowboarding,A2,noun,NA
south,A2,noun,NA
supper,A2,noun,suppers
surfing,A2,noun,NA
swimming,A2,noun,NA
tonight,A2,noun,NA
traffic,A2,noun,NA
walking,A2,noun,NA
wastebasket,A2,noun,NA
west,A2,noun,NA
woods,A2,noun,NA
ages,B1,noun,NA
backpacking,B1,noun,NA
baggage,B1,noun,baggages
boxing,B1,noun,NA
cd-rom,B1,noun,cd-roms
countryside,B1,noun,NA
cry,B1,noun,cries
customs,B1,noun,NA
cv,B1,noun,cvs
dirt,B1,noun,NA
diving,B1,noun,NA
dj,B1,noun,djs
engineering,B1,noun,NA
farming,B1,noun,NA
film-maker,B1,noun,NA
final,B1,noun,finals
fly,B1,noun,flies
foot,B1,noun,feet
handwriting,B1,noun,handwritings
hardware,B1,noun,hardwares
housework,B1,noun,NA
importance,B1,noun,NA
jogging,B1,noun,NA
leisure,B1,noun,leisures
ma'am,B1,noun,NA
nightlife,B1,noun,NA
northeast,B1,noun,NA
northwest,B1,noun,NA
pantyhose,B1,noun,NA
parking,B1,noun,NA
poetry,B1,noun,poetries
politics,B1,noun,NA
punctuation,B1,noun,NA
quiz,B1,noun,quizzes
rã©sumã©,B1,noun,resumés
saleswoman,B1,noun,saleswomen
salmon,B1,noun,NA
scenery,B1,noun,NA
seaside,B1,noun,NA
series,B1,noun,NA
sir,B1,noun,NA
southeast,B1,noun,NA
southwest,B1,noun,NA
spy,B1,noun,spies
sunshine,B1,noun,sunshines
tourism,B1,noun,NA
training,B1,noun,NA
transportation,B1,noun,NA
underwear,B1,noun,NA
unemployment,B1,noun,NA
wildlife,B1,noun,NA
windshield,B1,noun,windshields
windsurfing,B1,noun,NA
yoga,B1,noun,NA
admiration,B2,noun,NA
advertising,B2,noun,advertisings
agriculture,B2,noun,NA
aircraft,B2,noun,NA
aluminum,B2,noun,NA
amazement,B2,noun,NA
appreciation,B2,noun,NA
assistance,B2,noun,NA
availability,B2,noun,availabilities
banking,B2,noun,NA
basis,B2,noun,NA
bravery,B2,noun,NA
broadband,B2,noun,NA
brother-in-law,B2,noun,brothers-in-law
cardboard,B2,noun,cardboards
catering,B2,noun,caterings
centigrade,B2,noun,centigrades
clothing,B2,noun,clothings
coaching,B2,noun,NA
commerce,B2,noun,NA
conservation,B2,noun,conservations
cooperation,B2,noun,cooperations
courage,B2,noun,NA
creativity,B2,noun,NA
curve,B2,noun,curves
data,B2,noun,NA
daughter-in-law,B2,noun,daughters-in-law
destruction,B2,noun,destructions
dishonesty,B2,noun,NA
eagerness,B2,noun,NA
earnings,B2,noun,NA
eggplant,B2,noun,eggplants
enjoyment,B2,noun,enjoyments
equality,B2,noun,equalities
evolution,B2,noun,evolutions
eyesight,B2,noun,NA
fame,B2,noun,NA
father-in-law,B2,noun,fathers-in-law
fighting,B2,noun,NA
flexibility,B2,noun,flexibilities
fluency,B2,noun,fluencies
folks,B2,noun,NA
gambling,B2,noun,NA
gardening,B2,noun,NA
gasoline,B2,noun,NA
goods,B2,noun,NA
grown-up,B2,noun,grown-ups
guidance,B2,noun,guidances
guilt,B2,noun,NA
guts,B2,noun,NA
honesty,B2,noun,NA
hunting,B2,noun,NA
independence,B2,noun,independences
inflation,B2,noun,NA
laughter,B2,noun,laughters
learning,B2,noun,NA
lighting,B2,noun,NA
luck,B2,noun,NA
maintenance,B2,noun,maintenances
mankind,B2,noun,NA
manufacturing,B2,noun,NA
marketing,B2,noun,NA
means,B2,noun,NA
mother-in-law,B2,noun,mothers-in-law
nonsense,B2,noun,NA
overtime,B2,noun,NA
panties,B2,noun,NA
patience,B2,noun,NA
planning,B2,noun,NA
plus,B2,noun,NA
popularity,B2,noun,NA
poverty,B2,noun,NA
prevention,B2,noun,NA
privacy,B2,noun,NA
programming,B2,noun,NA
publicity,B2,noun,NA
quiet,B2,noun,NA
racism,B2,noun,racisms
remains,B2,noun,NA
safety,B2,noun,NA
savings,B2,noun,NA
self-confidence,B2,noun,NA
semi-final,B2,noun,NA
series,B2,noun,NA
sister-in-law,B2,noun,sisters-in-law
son-in-law,B2,noun,sons-in-law
species,B2,noun,NA
storage,B2,noun,NA
sunlight,B2,noun,NA
terms,B2,noun,NA
thirst,B2,noun,NA
tone,B2,noun,tones
transportation,B2,noun,NA
trekking,B2,noun,NA
try,B2,noun,tries
violence,B2,noun,violences
warmth,B2,noun,NA
wealth,B2,noun,NA
welfare,B2,noun,NA
will,B2,noun,wills
wisdom,B2,noun,NA
x-ray,B2,noun,x-rays
aggression,C1,noun,aggressions
