"","Base.Word","Level","Part.of.Speech","plurals.f.lemma"
"1","ad","A1","noun","ads"
"3","adult","A1","noun","adults"
"4","afternoon","A1","noun","afternoons"
"5","age","A1","noun","ages"
"6","animal","A1","noun","animals"
"7","answer","A1","noun","answers"
"10","arm","A1","noun","arms"
"11","august","A1","noun","auguries"
"12","baby","A1","noun","babies"
"13","bag","A1","noun","bags"
"14","ball","A1","noun","balls"
"15","banana","A1","noun","bananas"
"16","band","A1","noun","bands"
"17","bank","A1","noun","banks"
"18","baseball","A1","noun","baseballs"
"19","basketball","A1","noun","basketballs"
"20","bat","A1","noun","bats"
"22","bathroom","A1","noun","bathrooms"
"23","beach","A1","noun","beaches"
"24","bean","A1","noun","beans"
"25","beard","A1","noun","beards"
"26","bed","A1","noun","beds"
"27","bedroom","A1","noun","bedrooms"
"28","beer","A1","noun","beers"
"29","bike","A1","noun","bikes"
"30","bird","A1","noun","birds"
"31","birthday","A1","noun","birthdays"
"32","blouse","A1","noun","blouses"
"33","board","A1","noun","boards"
"34","boat","A1","noun","boats"
"35","body","A1","noun","bodies"
"36","book","A1","noun","books"
"37","bookcase","A1","noun","bookcases"
"38","bookstore","A1","noun","bookstores"
"39","boot","A1","noun","boots"
"40","bottom","A1","noun","bottoms"
"41","box","A1","noun","boxes"
"42","boy","A1","noun","boys"
"43","bread","A1","noun","breads"
"44","breakfast","A1","noun","breakfasts"
"45","brother","A1","noun","brothers"
"48","butter","A1","noun","butters"
"50","cake","A1","noun","cakes"
"51","camera","A1","noun","cameras"
"53","cat","A1","noun","cats"
"55","chair","A1","noun","chairs"
"58","chocolate","A1","noun","chocolates"
"59","city","A1","noun","cities"
"61","classroom","A1","noun","classrooms"
"62","clock","A1","noun","clocks"
"63","coat","A1","noun","coats"
"64","coffee","A1","noun","coffees"
"65","color","A1","noun","colors"
"66","computer","A1","noun","computers"
"67","conversation","A1","noun","conversations"
"68","country","A1","noun","countries"
"69","course","A1","noun","courses"
"70","cow","A1","noun","cows"
"71","cracker","A1","noun","crackers"
"73","cup","A1","noun","cups"
"74","dad","A1","noun","dads"
"77","date","A1","noun","dates"
"78","daughter","A1","noun","daughters"
"79","day","A1","noun","days"
"81","desk","A1","noun","desks"
"82","dictionary","A1","noun","dictionaries"
"83","dinner","A1","noun","dinners"
"84","doctor","A1","noun","doctors"
"86","doll","A1","noun","dolls"
"87","dollar","A1","noun","dollars"
"88","door","A1","noun","doors"
"90","drink","A1","noun","drinks"
"93","ear","A1","noun","ears"
"94","egg","A1","noun","eggs"
"95","end","A1","noun","ends"
"96","eraser","A1","noun","erasers"
"97","evening","A1","noun","evenings"
"98","example","A1","noun","examples"
"99","eye","A1","noun","eyes"
"100","face","A1","noun","faces"
"101","factory","A1","noun","factories"
"102","family","A1","noun","families"
"103","farm","A1","noun","farms"
"104","father","A1","noun","fathers"
"106","fish","A1","noun","fishes"
"107","floor","A1","noun","floors"
"108","flower","A1","noun","flowers"
"109","food","A1","noun","foods"
"111","football","A1","noun","footballs"
"112","friday","A1","noun","fridays"
"113","friend","A1","noun","friends"
"114","fruit","A1","noun","fruits"
"116","game","A1","noun","games"
"117","garden","A1","noun","gardens"
"118","girl","A1","noun","girls"
"120","glasses","A1","noun","glasses"
"122","group","A1","noun","groups"
"123","guitar","A1","noun","guitars"
"124","hair","A1","noun","hairs"
"125","hand","A1","noun","hands"
"127","head","A1","noun","heads"
"128","holiday","A1","noun","holidays"
"129","home","A1","noun","homes"
"130","homework","A1","noun","homeworks"
"131","horse","A1","noun","horses"
"132","hospital","A1","noun","hospitals"
"134","hour","A1","noun","hours"
"135","house","A1","noun","houses"
"136","husband","A1","noun","husbands"
"137","jacket","A1","noun","jackets"
"139","jeans","A1","noun","jeans"
"140","job","A1","noun","jobs"
"141","juice","A1","noun","juices"
"144","key","A1","noun","keys"
"145","kind","A1","noun","kinds"
"146","kitchen","A1","noun","kitchens"
"147","knife","A1","noun","knifes"
"148","language","A1","noun","languages"
"149","leg","A1","noun","legs"
"150","lesson","A1","noun","lessons"
"151","letter","A1","noun","letters"
"152","life","A1","noun","lifes"
"153","lunch","A1","noun","lunches"
"155","march","A1","noun","marches"
"157","meal","A1","noun","meals"
"158","meat","A1","noun","meats"
