"","plurals.f.lemma","Base.Word","COUNT.Base.Word"
"1","ads","ad",1
"3","adults","adult",1
"4","afternoons","afternoon",1
"5","ages","age",1
"6","animals","animal",1
"7","answers","answer",1
"9","arms","arm",1
"10","bags","bag",1
"11","balls","ball",1
"12","bananas","banana",1
"13","bands","band",1
"14","banks","bank",1
"15","baseballs","baseball",1
"16","basketballs","basketball",1
"17","bats","bat",1
"19","bathrooms","bathroom",1
"20","beans","bean",1
"21","beards","beard",1
"22","beds","bed",1
"23","bedrooms","bedroom",1
"24","beers","beer",1
"25","bikes","bike",1
"26","birds","bird",1
"27","birthdays","birthday",1
"28","blouses","blouse",1
"29","boards","board",1
"30","boats","boat",1
"31","books","book",1
"32","bookcases","bookcase",1
"33","bookstores","bookstore",1
"34","boots","boot",1
"35","bottoms","bottom",1
"36","boys","boy",1
"37","breads","bread",1
"38","breakfasts","breakfast",1
"39","brothers","brother",1
"50","butters","butter",1
"51","cakes","cake",1
"52","cameras","camera",1
"54","cats","cat",1
"55","chairs","chair",1
"57","chocolates","chocolate",1
"61","classrooms","classroom",1
"62","clocks","clock",1
"63","coats","coat",1
"64","coffees","coffee",1
"65","colors","color",1
"66","computers","computer",1
"67","conversations","conversation",1
"68","courses","course",1
"69","cows","cow",1
"70","crackers","cracker",1
"73","cups","cup",1
"74","dads","dad",1
"76","dates","date",1
"77","daughters","daughter",1
"78","days","day",1
"79","desks","desk",1
"80","dinners","dinner",1
"81","doctors","doctor",1
"83","dolls","doll",1
"84","dollars","dollar",1
"85","doors","door",1
"88","drinks","drink",1
"89","ears","ear",1
"90","eggs","egg",1
"91","ends","end",1
"92","erasers","eraser",1
"93","evenings","evening",1
"94","examples","example",1
"95","eyes","eye",1
"96","faces","face",1
"97","farms","farm",1
"98","fathers","father",1
"99","floors","floor",1
"100","flowers","flower",1
"101","foods","food",1
"102","footballs","football",1
"103","fridays","friday",1
"104","friends","friend",1
"105","fruits","fruit",1
"106","games","game",1
"107","gardens","garden",1
"108","girls","girl",1
"110","glasses","glasses",1
"113","groups","group",1
"114","guitars","guitar",1
"115","hairs","hair",1
"116","hands","hand",1
"118","heads","head",1
"119","holidays","holiday",1
"120","homes","home",1
"121","homeworks","homework",1
"122","horses","horse",1
"123","hospitals","hospital",1
"125","hours","hour",1
"126","houses","house",1
"127","husbands","husband",1
"128","jackets","jacket",1
"129","jeans","jeans",1
"130","jobs","job",1
"131","juices","juice",1
"132","keys","key",1
"133","kinds","kind",1
"134","kitchens","kitchen",1
"135","knifes","knife",1
"136","languages","language",1
"137","legs","leg",1
"138","lessons","lesson",1
"139","letters","letter",1
"140","lifes","life",1
