"","Base.Word","Level.x","Part.of.Speech.x","Level.y","Part.of.Speech.y","plurals.f.lemma"
"14","april","A1","noun",NA,NA,NA
"75","cafã©","A1","noun",NA,NA,NA
"78","car","A1","noun",NA,NA,NA
"80","cd","A1","noun",NA,NA,NA
"113","dancing","A1","noun",NA,NA,NA
"120","december","A1","noun",NA,NA,NA
"132","dvd","A1","noun",NA,NA,NA
"133","e-mail","A1","noun",NA,NA,NA
"150","february","A1","noun",NA,NA,NA
"157","foot","A1","noun",NA,NA,NA
"164","fun","A1","noun",NA,NA,NA
"194","january","A1","noun",NA,NA,NA
"200","july","A1","noun",NA,NA,NA
"201","june","A1","noun",NA,NA,NA
"231","may","A1","noun",NA,NA,NA
"248","mr.","A1","noun",NA,NA,NA
"249","mrs.","A1","noun",NA,NA,NA
"264","november","A1","noun",NA,NA,NA
"267","october","A1","noun",NA,NA,NA
"275","pants","A1","noun",NA,NA,NA
"336","september","A1","noun",NA,NA,NA
"337","sheep","A1","noun",NA,NA,NA
"340","shopping","A1","noun",NA,NA,NA
"345","smoking","A1","noun",NA,NA,NA
"365","t-shirt","A1","noun",NA,NA,NA
"419","wine","A1","noun",NA,NA,NA
"444","advice","A2","noun",NA,NA,NA
"471","badminton","A2","noun",NA,NA,NA
"474","banking","A2","noun",NA,NA,NA
"536","businesswoman","A2","noun",NA,NA,NA
"544","camping","A2","noun",NA,NA,NA
"584","chemistry","A2","noun",NA,NA,NA
"585","chess","A2","noun",NA,NA,NA
"597","climbing","A2","noun",NA,NA,NA
"612","comparative","A2","noun",NA,NA,NA
"623","cooking","A2","noun",NA,NA,NA
"642","cycling","A2","noun",NA,NA,NA
"673","dr.","A2","noun",NA,NA,NA
"685","east","A2","noun",NA,NA,NA
"686","electricity","A2","noun",NA,NA,NA
"725","fishing","A2","noun",NA,NA,NA
"742","furniture","A2","noun",NA,NA,NA
"760","gold","A2","noun",NA,NA,NA
"761","golf","A2","noun",NA,NA,NA
"798","handball","A2","noun",NA,NA,NA
"800","health","A2","noun",NA,NA,NA
"810","hiking","A2","noun",NA,NA,NA
"812","hip-hop","A2","noun",NA,NA,NA
"815","hockey","A2","noun",NA,NA,NA
"816","honey","A2","noun",NA,NA,NA
"818","ice","A2","noun",NA,NA,NA
"826","information","A2","noun",NA,NA,NA
"839","jewelry","A2","noun",NA,NA,NA
"871","license","A2","noun",NA,NA,NA
"883","luck","A2","noun",NA,NA,NA
"891","makeup","A2","noun",NA,NA,NA
"916","midnight","A2","noun",NA,NA,NA
"933","ms.","A2","noun",NA,NA,NA
"944","news","A2","noun",NA,NA,NA
"948","north","A2","noun",NA,NA,NA
"993","pc","A2","noun",NA,NA,NA
