cannot,
may,
had,
color,colors
practice,practices
e-mail,e-mails
apologize,apologizes
dislike,dislikes
iron,irons
own,owns
realize,realizes
rebuild,rebuilds
undress,undresses
unpack,unpacks
analyze,analyzes
criticize,criticizes
emphasize,emphasizes
equip,equips
found,
frighten,frightens
google,googles
misunderstand,misunderstands
rearrange,rearranges
renew,renews
reschedule,reschedules
rewrite,rewrites
socialize,socializes
specialize,specializes
strengthen,strengthens
threaten,threatens
tighten,tightens
undo,undoes
unlock,unlocks
untie,unties
widen,widens
authorize,authorizes
beware,bewares
broaden,broadens
deepen,deepens
generalize,generalizes
imprison,imprisons
lengthen,lengthens
lessen,lessens
march,marches
minimize,minimize
misbehave,misbehaves
misinform,misinforms
mislead,misleads
misuse,misuses
motivate,motivates
privatize,privatizes
readjust,readjusts
reassure,reassures
reconsider,reconsiders
reconstruct,reconstructs
recreate,recreates
redevelop,redevelops
relocate,relocates
reorganize,reorganizes
restart,restarts
rethink,rethinks
shorten,shortens
simplify,simplifies
sue,sues
summarize,summarizes
uncover,uncovers
unfold,unfolds
unload,unloads
weaken,weakens
worsen,worsens
flatten,flattens
formulate,formulates
fulfill,fulfills
intensify,intensifies
loosen,loosens
maximize,maximizes
misinterpret,misinterprets
redistribute,redistributes
restructure,restructures
sadden,
sharpen,sharpens
sympathize,sympathizes
reort,
characterize,characterizes
compute,computes
enroll,enrolls
mobilize,mobilizes
recount,recounts
stabilize,stabilizes
unveil,unveils
utilize,utilizes
soften,softens
straighten,straightens
is,
are,
has,
does,
